Time [s],Channel 0,Channel 1,Channel 2
0.086850250,1,0,0
0.086850750,1,1,0
0.086856750,1,0,0
0.086857250,0,0,0
0.086858000,0,1,0
0.086876250,0,0,0
0.086877500,0,1,0
0.086883500,0,0,0
0.086884500,0,1,0
0.086890500,0,0,0
0.086891750,0,1,0
0.086897750,0,0,0
0.086898250,1,0,0
0.086898750,1,1,0
0.086904750,1,0,0
0.086905500,0,0,0
0.086906000,0,1,0
0.086912500,1,1,0
0.086930250,0,0,0
0.086936250,0,1,0
0.086942750,0,0,0
0.086948750,0,1,0
0.086955000,0,0,0
0.086961000,0,1,0
0.086967500,0,0,0
0.086973500,0,1,0
0.086979750,0,0,0
0.086985750,0,1,0
0.086992250,0,0,0
0.086998250,0,1,0
0.087004750,0,0,0
0.087010500,0,1,0
0.087017000,0,0,0
0.087023000,0,1,0
0.087030750,0,0,0
0.087036750,0,1,0
0.087043000,0,0,0
0.087049000,0,1,0
0.087055500,0,0,0
0.087061500,0,1,0
0.087067750,0,0,0
0.087073750,0,1,0
0.087080250,0,0,0
0.087086250,0,1,0
0.087092500,0,0,0
0.087098500,0,1,0
0.087105000,0,0,0
0.087111000,0,1,0
0.087117500,0,0,0
0.087123250,0,1,0
0.087131000,0,0,0
0.087137000,0,1,0
0.087143500,0,0,0
0.087149500,0,1,0
0.087155750,0,0,0
0.087161750,0,1,0
0.087168250,0,0,0
0.087174250,0,1,0
0.087180500,0,0,0
0.087186500,0,1,0
0.087193000,0,0,0
0.087199000,0,1,0
0.087205250,0,0,0
0.087211250,0,1,0
0.087217750,0,0,0
0.087223750,0,1,0
0.087231500,1,0,0
0.087237500,1,1,0
0.087243750,0,0,0
0.087249750,0,1,0
0.087256250,0,0,0
0.087262250,0,1,0
0.087268500,0,0,0
0.087274500,0,1,0
0.087281000,0,0,0
0.087287000,0,1,0
0.087293250,0,0,0
0.087299250,0,1,0
0.087305750,0,0,0
0.087311750,0,1,0
0.087318250,0,0,0
0.087324000,0,1,0
0.087331750,0,0,0
0.087337750,0,1,0
0.087344250,0,0,0
0.087350250,0,1,0
0.087356500,0,0,0
0.087362500,0,1,0
0.087369000,0,0,0
0.087375000,0,1,0
0.087381250,0,0,0
0.087387250,0,1,0
0.087393750,0,0,0
0.087399750,0,1,0
0.087406000,0,0,0
0.087412000,0,1,0
0.087418500,0,0,0
0.087424500,0,1,0
0.087431750,0,1,1
