Time [s],Channel 0,Channel 1,Channel 2
0.151365750,0,0,0
0.151366500,1,0,0
0.151367000,1,1,0
0.151373000,1,0,0
0.151374250,1,1,0
0.151381750,1,0,0
0.151382250,0,0,0
0.151383000,0,1,0
0.151388750,0,0,0
0.151390000,0,1,0
0.151396000,0,0,0
0.151397250,0,1,0
0.151403000,0,0,0
0.151404250,0,1,0
0.151410250,0,0,0
0.151411500,0,1,0
0.151417250,0,0,0
0.151418000,1,0,0
0.151418500,1,1,0
0.151424500,1,0,0
0.151425000,0,0,0
0.151425750,0,1,0
0.151431500,0,0,0
0.151432750,0,1,0
0.151439250,1,1,0
0.151440000,1,1,1
0.157315000,1,1,0
0.157315750,1,0,0
0.157317000,1,1,0
0.157323000,1,0,0
0.157323500,0,0,0
0.157324250,0,1,0
0.157330000,0,0,0
0.157331250,0,1,0
0.157349250,0,0,0
0.157350500,0,1,0
0.157356500,0,0,0
0.157357750,0,1,0
0.157363500,0,0,0
0.157364750,0,1,0
0.157370750,0,0,0
0.157371250,1,0,0
0.157372000,1,1,0
0.157377750,1,0,0
0.157379000,1,1,0
0.157386750,1,0,0
0.157387250,0,0,0
0.157388000,0,1,0
0.157393750,0,0,0
0.157395000,0,1,0
0.157400750,0,0,0
0.157402000,0,1,0
0.157408000,0,0,0
0.157409250,0,1,0
0.157415000,0,0,0
0.157416250,0,1,0
0.157422250,0,0,0
0.157423500,0,1,0
0.157429250,0,0,0
0.157430500,0,1,0
0.157436500,0,0,0
0.157437750,0,1,0
0.157444000,1,1,0
0.157445000,1,1,1
0.163318250,1,1,0
0.163319250,1,0,0
0.163320500,1,1,0
0.163326250,1,0,0
0.163327500,1,1,0
0.163333500,1,0,0
0.163334000,0,0,0
0.163334750,0,1,0
0.163352750,0,0,0
0.163353500,1,0,0
0.163354000,1,1,0
0.163360000,1,0,0
0.163360500,0,0,0
0.163361250,0,1,0
0.163367000,0,0,0
0.163368250,0,1,0
0.163374000,0,0,0
0.163375250,0,1,0
0.163381250,0,0,0
0.163382000,1,0,0
0.163382500,1,1,0
0.163389750,1,1,1
0.170322250,1,1,0
0.170323250,1,0,0
0.170323750,0,0,0
0.170324500,0,1,0
0.170330250,0,0,0
0.170331000,1,0,0
0.170331500,1,1,0
0.170337500,1,0,0
0.170338000,0,0,0
0.170338750,0,1,0
0.170356750,0,0,0
0.170358000,0,1,0
0.170364000,0,0,0
0.170365000,0,1,0
0.170371000,0,0,0
0.170372250,0,1,0
0.170378000,0,0,0
0.170378750,1,0,0
0.170379250,1,1,0
0.170385250,1,0,0
0.170385750,0,0,0
0.170386500,0,1,0
0.170393000,1,1,0
0.170410750,0,0,0
0.170416750,0,1,0
0.170423250,0,0,0
0.170429250,0,1,0
0.170435500,0,0,0
0.170441500,0,1,0
0.170448000,0,0,0
0.170454000,0,1,0
0.170460250,0,0,0
0.170466250,0,1,0
0.170472750,0,0,0
0.170478750,0,1,0
0.170485250,0,0,0
0.170491000,0,1,0
0.170497500,0,0,0
0.170503500,0,1,0
0.170511250,0,0,0
0.170517250,0,1,0
0.170523500,0,0,0
0.170529500,0,1,0
0.170536000,0,0,0
0.170542000,0,1,0
0.170548250,0,0,0
0.170554250,0,1,0
0.170560750,0,0,0
0.170566750,0,1,0
0.170573250,0,0,0
0.170579000,0,1,0
0.170585500,0,0,0
0.170591500,0,1,0
0.170598000,0,0,0
0.170604000,0,1,0
0.170611500,0,0,0
0.170617500,0,1,0
0.170624000,0,0,0
0.170630000,0,1,0
0.170636250,0,0,0
0.170642250,0,1,0
0.170648750,0,0,0
0.170654750,0,1,0
0.170661000,0,0,0
0.170667000,0,1,0
0.170673500,0,0,0
0.170679500,0,1,0
0.170686000,0,0,0
0.170691750,0,1,0
0.170698250,0,0,0
0.170704250,0,1,0
0.170712000,0,0,0
0.170718000,0,1,0
0.170724250,0,0,0
0.170730250,0,1,0
0.170736750,0,0,0
0.170742750,0,1,0
0.170749000,0,0,0
0.170755000,0,1,0
0.170761500,0,0,0
0.170767500,0,1,0
0.170773750,0,0,0
0.170779750,0,1,0
0.170786250,0,0,0
0.170792250,0,1,0
0.170798750,0,0,0
0.170804500,0,1,0
0.170812250,0,0,0
0.170818250,0,1,0
0.170824750,0,0,0
0.170830750,0,1,0
0.170837000,0,0,0
0.170843000,0,1,0
0.170849500,0,0,0
0.170855500,0,1,0
0.170861750,0,0,0
0.170867750,0,1,0
0.170874250,0,0,0
0.170880250,0,1,0
0.170886500,0,0,0
0.170892500,0,1,0
0.170899000,0,0,0
0.170905000,0,1,0
0.170912250,0,1,1
0.170912500,1,1,1
0.177327250,1,1,0
0.177328250,1,0,0
0.177329500,1,1,0
0.177335250,1,0,0
0.177336500,1,1,0
0.177342500,1,0,0
0.177343000,0,0,0
0.177343750,0,1,0
0.177361750,0,0,0
0.177363000,0,1,0
0.177368750,0,0,0
0.177370000,0,1,0
0.177376000,0,0,0
0.177377250,0,1,0
0.177383000,0,0,0
0.177384250,0,1,0
0.177390250,0,0,0
0.177391500,0,1,0
0.177397750,1,1,0
0.177399000,1,1,1
0.183332000,1,1,0
0.183333000,1,0,0
0.183333500,0,0,0
0.183334250,0,1,0
0.183340000,0,0,0
0.183341250,0,1,0
0.183347000,0,0,0
0.183348250,0,1,0
0.183365750,0,0,0
0.183367000,0,1,0
0.183373000,0,0,0
0.183374250,0,1,0
0.183380000,0,0,0
0.183381250,0,1,0
0.183387000,0,0,0
0.183387750,1,0,0
0.183388250,1,1,0
0.183394250,1,0,0
0.183395000,0,0,0
0.183395500,0,1,0
0.183402000,1,1,0
0.183403000,1,1,1
0.189336000,1,1,0
0.189337000,1,0,0
0.189337750,0,0,0
0.189338250,0,1,0
0.189344250,0,0,0
0.189345500,0,1,0
0.189351250,0,0,0
0.189352500,0,1,0
0.189370000,0,0,0
0.189371250,0,1,0
0.189377000,0,0,0
0.189378250,0,1,0
0.189384250,0,0,0
0.189385500,0,1,0
0.189391250,0,0,0
0.189392000,1,0,0
0.189392500,1,1,0
0.189398500,1,0,0
0.189399750,1,1,0
0.189407250,1,0,0
0.189408000,0,0,0
0.189408500,0,1,0
0.189414500,0,0,0
0.189415750,0,1,0
0.189421500,0,0,0
0.189422750,0,1,0
0.189428500,0,0,0
0.189429750,0,1,0
0.189435750,0,0,0
0.189437000,0,1,0
0.189442750,0,0,0
0.189443500,1,0,0
0.189444000,1,1,0
0.189450000,1,0,0
0.189450500,0,0,0
0.189451250,0,1,0
0.189457000,0,0,0
0.189458250,0,1,0
0.189464750,1,1,0
0.189465750,1,1,1
0.195340500,1,1,0
0.195341500,1,0,0
0.195342750,1,1,0
0.195348500,1,0,0
0.195349250,0,0,0
0.195349750,0,1,0
0.195355500,0,0,0
0.195356750,0,1,0
0.195374250,0,0,0
0.195375500,0,1,0
0.195381500,0,0,0
0.195382750,0,1,0
0.195388500,0,0,0
0.195389750,0,1,0
0.195395750,0,0,0
0.195396250,1,0,0
0.195397000,1,1,0
0.195402750,1,0,0
0.195404000,1,1,0
0.195411750,1,0,0
0.195412250,0,0,0
0.195412750,0,1,0
0.195418750,0,0,0
0.195420000,0,1,0
0.195425750,0,0,0
0.195427000,0,1,0
0.195433000,0,0,0
0.195434250,0,1,0
0.195440000,0,0,0
0.195441250,0,1,0
0.195447250,0,0,0
0.195448500,0,1,0
0.195454250,0,0,0
0.195455500,0,1,0
0.195461500,0,0,0
0.195462750,0,1,0
0.195469000,1,1,0
0.195470000,1,1,1
0.201344750,1,1,0
0.201345750,1,0,0
0.201347000,1,1,0
0.201353000,1,0,0
0.201354250,1,1,0
0.201360000,1,0,0
0.201360750,0,0,0
0.201361250,0,1,0
0.201378750,0,0,0
0.201379500,1,0,0
0.201380000,1,1,0
0.201386000,1,0,0
0.201386500,0,0,0
0.201387250,0,1,0
0.201393000,0,0,0
0.201394250,0,1,0
0.201400250,0,0,0
0.201401500,0,1,0
0.201407250,0,0,0
0.201408000,1,0,0
0.201408500,1,1,0
0.201415750,1,1,1
0.236368000,1,1,0
0.236368750,1,0,0
0.236369500,0,0,0
0.236370000,0,1,0
0.236376000,0,0,0
0.236376750,1,0,0
0.236377250,1,1,0
0.236383000,1,0,0
0.236383750,0,0,0
0.236384250,0,1,0
0.236406000,0,0,0
0.236407250,0,1,0
0.236413000,0,0,0
0.236414250,0,1,0
0.236420250,0,0,0
0.236421500,0,1,0
0.236427250,0,0,0
0.236428000,1,0,0
0.236428500,1,1,0
0.236434500,1,0,0
0.236435000,0,0,0
0.236435750,0,1,0
0.236442000,1,1,0
0.236460000,0,0,0
0.236466000,0,1,0
0.236472250,0,0,0
0.236478250,0,1,0
0.236484750,0,0,0
0.236490750,0,1,0
0.236497250,0,0,0
0.236503000,0,1,0
0.236509500,0,0,0
0.236515500,0,1,0
0.236522000,0,0,0
0.236528000,0,1,0
0.236534250,0,0,0
0.236540250,0,1,0
0.236546750,0,0,0
0.236552750,0,1,0
0.236560250,0,0,0
0.236566250,0,1,0
0.236572750,0,0,0
0.236578750,0,1,0
0.236585000,0,0,0
0.236591000,0,1,0
0.236597500,0,0,0
0.236603500,0,1,0
0.236609750,0,0,0
0.236615750,0,1,0
0.236622250,0,0,0
0.236628250,0,1,0
0.236634750,0,0,0
0.236640500,0,1,0
0.236647000,0,0,0
0.236653000,0,1,0
0.236660750,0,0,0
0.236666750,0,1,0
0.236673000,0,0,0
0.236679000,0,1,0
0.236685500,0,0,0
0.236691500,0,1,0
0.236697750,0,0,0
0.236703750,0,1,0
0.236710250,0,0,0
0.236716250,0,1,0
0.236722500,0,0,0
0.236728500,0,1,0
0.236735000,0,0,0
0.236741000,0,1,0
0.236747250,0,0,0
0.236753250,0,1,0
0.236761000,0,0,0
0.236767000,0,1,0
0.236773500,0,0,0
0.236779500,0,1,0
0.236785750,0,0,0
0.236791750,0,1,0
0.236798250,0,0,0
0.236804250,0,1,0
0.236810500,0,0,0
0.236816500,0,1,0
0.236823000,0,0,0
0.236829000,0,1,0
0.236835250,0,0,0
0.236841250,0,1,0
0.236847750,0,0,0
0.236853750,0,1,0
0.236861250,0,0,0
0.236867250,0,1,0
0.236873750,0,0,0
0.236879750,0,1,0
0.236886000,0,0,0
0.236892000,0,1,0
0.236898500,0,0,0
0.236904500,0,1,0
0.236911000,0,0,0
0.236916750,0,1,0
0.236923250,0,0,0
0.236929250,0,1,0
0.236935750,0,0,0
0.236941500,0,1,0
0.236948000,0,0,0
0.236954000,0,1,0
0.236961250,0,1,1
0.236961500,1,1,1
0.243371500,1,1,0
0.243372500,1,0,0
0.243373750,1,1,0
0.243379750,1,0,0
0.243381000,1,1,0
0.243386750,1,0,0
0.243387500,0,0,0
0.243388000,0,1,0
0.243406250,0,0,0
0.243407500,0,1,0
0.243413250,0,0,0
0.243414500,0,1,0
0.243420500,0,0,0
0.243421500,0,1,0
0.243427500,0,0,0
0.243428750,0,1,0
0.243434500,0,0,0
0.243435750,0,1,0
0.243442250,1,1,0
0.243443250,1,1,1
0.249375250,1,1,0
0.249376250,1,0,0
0.249377000,0,0,0
0.249377500,0,1,0
0.249383500,0,0,0
0.249384500,0,1,0
0.249390500,0,0,0
0.249391750,0,1,0
0.249409750,0,0,0
0.249411000,0,1,0
0.249417000,0,0,0
0.249418250,0,1,0
0.249424000,0,0,0
0.249425250,0,1,0
0.249431000,0,0,0
0.249431750,1,0,0
0.249432250,1,1,0
0.249438250,1,0,0
0.249438750,0,0,0
0.249439500,0,1,0
0.249446000,1,1,0
0.249447000,1,1,1
0.255380750,1,1,0
0.255381750,1,0,0
0.255382250,0,0,0
0.255383000,0,1,0
0.255388750,0,0,0
0.255390000,0,1,0
0.255396000,0,0,0
0.255397250,0,1,0
0.255415250,0,0,0
0.255416500,0,1,0
0.255422250,0,0,0
0.255423500,0,1,0
0.255429500,0,0,0
0.255430500,0,1,0
0.255436500,0,0,0
0.255437250,1,0,0
0.255437750,1,1,0
0.255443500,1,0,0
0.255444750,1,1,0
0.255452500,1,0,0
0.255453000,0,0,0
0.255453750,0,1,0
0.255459500,0,0,0
0.255460750,0,1,0
0.255466750,0,0,0
0.255468000,0,1,0
0.255473750,0,0,0
0.255475000,0,1,0
0.255481000,0,0,0
0.255482250,0,1,0
0.255488000,0,0,0
0.255488750,1,0,0
0.255489250,1,1,0
0.255495250,1,0,0
0.255495750,0,0,0
0.255496250,0,1,0
0.255502250,0,0,0
0.255503500,0,1,0
0.255510000,1,1,0
0.255510750,1,1,1
0.261384750,1,1,0
0.261385750,1,0,0
0.261387000,1,1,0
0.261393000,1,0,0
